MHA_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBJECTID,ZONEID,ZONING,CONTRACT,ORDINANCE,EFFECTIVE,HISTORIC,PEDESTRIAN,SHORELINE,OVERLAY,LIGHTRAIL,MHA,IZ,MHA_VALUE,SE_ANNO_CAD_DATA,MIO_NAME,Tract,Neighborhood,ZIP,CLASS_DESC,CATEGORY_DESC,ZONELUT,ZONELUT_DESC,DETAIL_DESC,ZONING_DESC,BASE_ZONE,ZONING_PREV,CONTRACT_PREV,ORDINANCE_PREV,EFFECTIVE_PREV,HISTORIC_PREV,PEDESTRIAN_PREV,SHORELINE_PREV,OVERLAY_PREV,LIGHTRAIL_PREV,BZONEID,PUBLIC_DESCRIPTION,CHAPTER,CHAPTER_LINK,SHAPE_Length,SHAPE_Area
3415,3697,DMC 340/290-440, ,125291,2017/05/14 00:00:00+00, , , ,DF, ,Y,Y,None,,,,Denny Triangle,98101,Downtown,Downtown,DMC,Downtown Mixed Commercial,Downtown Mixed,Downtown Mixed Commercial 340/290-440,DMC 340/290-440,DMC 340/290-400, ,122054,2006/05/12 00:00:00+00, , , ,DF, ,1509,is in a zone Downtown where both commercial and residential development is generally allowed.,Chapter 23.49,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.49DOZO,0.016910138,1.14633195063634E-05
1777,3698,DOC2 500/300-550, ,125291,2017/05/14 00:00:00+00, , , ,DF, ,Y,Y,None,,,,Denny Triangle,98101,Downtown,Downtown,DOC2,Downtown Office Core 2,Downtown Office Core,Downtown Office Core 2 500/300-550,DOC2 500/300-550,DOC2 500/300-500, ,122054,2006/05/12 00:00:00+00, , , ,DF, ,1510,is in a zone Downtown where both commercial and residential development is generally allowed.,Chapter 23.49,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.49DOZO,0.029950847,2.84048465220044E-05
1778,3699,DMC 240/290-440, ,125291,2017/05/14 00:00:00+00, , , ,DF, ,Y,Y,None,,,,Belltown,98101,Downtown,Downtown,DMC,Downtown Mixed Commercial,Downtown Mixed,Downtown Mixed Commercial 240/290-440,DMC 240/290-440,DMC 240/290-400, ,122054,2006/05/12 00:00:00+00, , , ,DF, ,1511,is in a zone Downtown where both commercial and residential development is generally allowed.,Chapter 23.49,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.49DOZO,0.004097564,7.54725059468879E-07
1779,3700,DMC 340/290-440,CF295976,125291,2017/05/14 00:00:00+00, , , ,DF, ,Y,Y,None,,,,Central Business District,98101,Downtown,Downtown,DMC,Downtown Mixed Commercial,Downtown Mixed,Downtown Mixed Commercial 340/290-440,DMC 340/290-440,DMC 340/290-400,CF295976,122054,2006/05/12 00:00:00+00, , , ,DF, ,1512,is in a zone Downtown where both commercial and residential development is generally allowed.,Chapter 23.49,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.49DOZO,0.005095358,1.5225342563947E-06
1780,3701,DMC 240/290-440, ,125291,2017/05/14 00:00:00+00, , , ,DF, ,Y,Y,None,,,,Central Business District,98101,Downtown,Downtown,DMC,Downtown Mixed Commercial,Downtown Mixed,Downtown Mixed Commercial 240/290-440,DMC 240/290-440,DMC 240/290-400, ,122054,2006/05/12 00:00:00+00, , , ,DF, ,1513,is in a zone Downtown where both commercial and residential development is generally allowed.,Chapter 23.49,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.49DOZO,0.003164599,5.7081884615668E-07
1781,3702,DOC1 U/450-U, ,125291,2017/05/14 00:00:00+00, , , ,DF, ,Y,Y,None,,,,Central Business District,98101,Downtown,Downtown,DOC1,Downtown Office Core 1,Downtown Office Core,Downtown Office Core 1 U/450-U,DOC1 U/450-U,DOC1 U/450/U, ,122054,2006/05/12 00:00:00+00, , , ,DF, ,1514,is in a zone Downtown where both commercial and residential development is generally allowed.,Chapter 23.49,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.49DOZO,0.031723239,4.32881862901482E-05
1782,3703,DMC 240/290-440, ,125291,2017/05/14 00:00:00+00, , , ,DF, ,Y,Y,None,,,,Central Business District,98101,Downtown,Downtown,DMC,Downtown Mixed Commercial,Downtown Mixed,Downtown Mixed Commercial 240/290-440,DMC 240/290-440,DMC 240/290-400, ,122054,2006/05/12 00:00:00+00, , , ,DF, ,1515,is in a zone Downtown where both commercial and residential development is generally allowed.,Chapter 23.49,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.49DOZO,0.006587167,1.52428864961282E-06
1783,3704,DMC 240/290-440,CF291518,125291,2017/05/14 00:00:00+00, , , ,DF, ,Y,Y,None,,,,Central Business District,98101,Downtown,Downtown,DMC,Downtown Mixed Commercial,Downtown Mixed,Downtown Mixed Commercial 240/290-440,DMC 240/290-440,DMC 240/290-400,CF291518,122054,2006/05/12 00:00:00+00, , , ,DF, ,1516,is in a zone Downtown where both commercial and residential development is generally allowed.,Chapter 23.49,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.49DOZO,0.004110928,8.3300995823534E-07
1542,4453,HR (M), ,125791,2019/04/19 00:00:00+00, , , , , ,Y,Y,M,,,,First Hill,98101,Multi-Family,High-Density Multi-Family,HR,Highrise,Highrise,Highrise,HR,HR, ,123020,2009/08/07 00:00:00+00, , , , , ,1795,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,0.021239092,1.37518376706999E-05
2760,5195,HR (M),CF290620,125791,2019/04/19 00:00:00+00, , , , , ,Y,Y,M,,,,First Hill,98101,Multi-Family,High-Density Multi-Family,HR,Highrise,Highrise,Highrise,HR,HR-PUD,CF290620,0,, , , , , ,4098,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,0.004382482,9.17904400575665E-07
