OBJECTID,GEOID_20,GROSS_ACRES,ACRES_LAND,ACRES_WATER,TRBL_STR,NAME,TRACT_NUMB,TRACT_LABEL,WATER,VILLNUMB,VILLNAME,CRA_NO,CRA_GRP,GEN_ALIAS,DETL_NAMES,COUNCIL_DIST_13,COUNCIL_DIST_24,Shape__Area,Shape__Length
7601,530330106021014,4.58546390781348,4.58553456,0,10602.1014,Block 1014,10602,106.02,0,206,Morgan Junction,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,1,199743.606781006,1957.55801196292
7602,530330106013009,5.54496365439587,5.54504475,0,10601.3009,Block 3009,10601,106.01,0,206,Morgan Junction,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,1,241539.582946777,2064.24886206568
7603,530330106021023,5.98071624200409,5.98093864,0,10602.1023,Block 1023,10602,106.02,0,206,Morgan Junction,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,1,260521.041595459,2271.13094779752
7604,530330116023001,3.15579775313019,3.15578282,0,11602.3001,Block 3001,11602,116.02,0,0,Outside Villages,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,1,137467.100006104,1698.41219443779
7605,530330116023007,0.428205510794028,0.42823363,0,11602.3007,Block 3007,11602,116.02,0,0,Outside Villages,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,1,18652.7066650391,667.950258778131
7606,530330116021005,0.810501129278225,0.81050565,0,11602.1005,Block 1005,11602,116.02,0,0,Outside Villages,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,1,35305.5704345703,2319.7851264606
7607,530330106012007,4.8652172426309,4.86525785,0,10601.2007,Block 2007,10601,106.01,0,206,Morgan Junction,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,1,211929.71081543,1962.19495870731
7608,530330106012011,2.13701392481305,2.13696733,0,10601.2011,Block 2011,10601,106.01,0,206,Morgan Junction,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,1,93088.698928833,1341.00609879183
7609,530330118011011,3.00684416957996,3.00677828,0,11801.1011,Block 1011,11801,118.01,0,0,Outside Villages,4.1,4,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",2,2,130978.655944824,1615.70905163699
7610,530330118013001,32.9358139022406,32.93642913,0,11801.3001,Block 3001,11801,118.01,0,204,Rainier Beach,4.1,4,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",2,2,1434689.7923584,4914.20264205682
