OBJECTID,GEOID_20,GROSS_ACRES,ACRES_LAND,ACRES_WATER,TRBL_STR,NAME,TRACT_NUMB,TRACT_LABEL,WATER,VILLNUMB,VILLNAME,CRA_NO,CRA_GRP,GEN_ALIAS,DETL_NAMES,COUNCIL_DIST_13,COUNCIL_DIST_24,Shape__Area,Shape__Length
7533,530330118011002,0.673280228761631,0.67336216,0,11801.1002,Block 1002,11801,118.01,0,0,Outside Villages,4.1,4,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",2,2,29328.2040863037,838.069629377076
7534,530330118011009,3.79179047394085,3.79183207,0,11801.1009,Block 1009,11801,118.01,0,0,Outside Villages,4.1,4,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",2,2,165171.053726196,1832.77055307364
7535,530330102002028,18.3873325361549,18.38785272,0,10200.2028,Block 2028,10200,102,0,0,Outside Villages,4.3,4,Seward Park,"Seward Park, Hillman City",2,2,800955.409118652,4314.92929250493
7536,530330118011017,2.96658998715721,2.9667472,0,11801.1017,Block 1017,11801,118.01,0,0,Outside Villages,4.1,4,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",2,2,129225.176773071,1516.44452785114
7537,530330118011008,2.11466418892701,2.11472785,0,11801.1008,Block 1008,11801,118.01,0,0,Outside Villages,4.1,4,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",2,2,92115.1405334473,1672.11628538988
7538,530330118021001,4.63362003991488,4.6337201,0,11802.1001,Block 1001,11802,118.02,0,204,Rainier Beach,4.1,4,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",2,2,201841.296310425,1858.54037085644
7539,530330118021000,3.10484287715281,3.10487911,0,11802.1000,Block 1000,11802,118.02,0,204,Rainier Beach,4.1,4,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",2,2,135247.496734619,1661.39889811947
7540,530330118022001,8.83011827771304,8.83031079,0,11802.2001,Block 2001,11802,118.02,0,204,Rainier Beach,4.1,4,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",2,2,384641.490737915,3919.5182313655
7541,530330118021005,5.21817211728324,5.21837144,0,11802.1005,Block 1005,11802,118.02,0,0,Outside Villages,4.1,4,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",2,2,227304.486633301,2166.84264975345
7542,530330118021015,6.47846768394288,6.47860888,0,11802.1015,Block 1015,11802,118.02,0,0,Outside Villages,4.1,4,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",2,2,282203.181152344,2849.84268883151
7543,530330118021007,4.8046730454241,4.80471703,0,11802.1007,Block 1007,11802,118.02,0,0,Outside Villages,4.1,4,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",2,2,209292.395019531,2050.42153659272
7544,530330118021008,2.90938980045331,2.90941876,0,11802.1008,Block 1008,11802,118.02,0,0,Outside Villages,4.1,4,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",2,2,126733.526626587,1600.30251588525
7545,530330119011001,3.25447771247868,3.25462497,0,11901.1001,Block 1001,11901,119.01,0,0,Outside Villages,4.1,4,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",2,2,141765.616210938,1817.24004912832
7546,530330119011004,16.9681859868614,16.96847941,0,11901.1004,Block 1004,11901,119.01,0,0,Outside Villages,4.1,4,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",2,2,739137.138122559,3825.38934159055
7547,530330118021023,10.4282810611443,10.42834129,0,11802.1023,Block 1023,11802,118.02,0,0,Outside Villages,4.1,4,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",2,2,454257.74005127,2691.43376640192
7548,530330106022023,1.9945388178771,1.99463464,0,10602.2023,Block 2023,10602,106.02,0,0,Outside Villages,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,1,86882.4584350586,1206.07387592427
7549,530330106023004,5.21458233461464,5.21466486,0,10602.3004,Block 3004,10602,106.02,0,0,Outside Villages,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,1,227148.11505127,2047.18274126227
7550,530330116023009,27.7470018293995,27.74771034,0,11602.3009,Block 3009,11602,116.02,0,0,Outside Villages,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,1,1208664.23426819,6462.77001403274
7551,530330106022015,2.9706671116377,2.97070089,0,10602.2015,Block 2015,10602,106.02,0,0,Outside Villages,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,1,129402.776977539,1708.12535657536
7552,530330106023014,4.99814295130231,4.99820054,0,10602.3014,Block 3014,10602,106.02,0,0,Outside Villages,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,1,217719.977813721,1979.74428025662
7553,530330106021002,2.92107940800983,2.92103271,0,10602.1002,Block 1002,10602,106.02,0,0,Outside Villages,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,1,127242.727996826,1448.78592804338
7554,530330106021000,18.7764395500923,18.77704369,0,10602.1000,Block 1000,10602,106.02,0,206,Morgan Junction,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,1,817904.97845459,4007.48149034753
